response_0,response_1,response_2
"**Plutôt d'accord**  
Cette idée met en avant des valeurs de solidarité et d'équité, ce qui est essentiel pour construire une société plus juste. Cependant, sa mise en pratique peut être complexe en raison des différences individuelles et des contraintes économiques. Elle reste néanmoins un idéal vers lequel tendre.","**Plutôt d'accord**  
Cette idée repose sur des principes de solidarité et d'équité, qui sont essentiels pour une société harmonieuse. Cependant, sa mise en œuvre pratique peut être complexe en raison des différences individuelles et des incitations économiques.","**Plutôt d'accord**  

Cette idée repose sur des principes d'équité et de solidarité, qui peuvent favoriser une société plus juste et inclusive. Cependant, sa mise en œuvre pratique peut poser des défis complexes, notamment en matière de motivation individuelle et de gestion des ressources."
"**Tout à fait d'accord**  

Je partage ce constat car l'accès à l'eau potable devrait être un droit universel et non une marchandise soumise aux logiques commerciales. La privatisation de l'eau pose des problèmes éthiques et environnementaux, notamment en excluant les populations les plus vulnérables. Cela illustre effectivement une dérive de notre société vers la marchandisation des biens essentiels.","**Tout à fait d'accord**  

Je partage ce constat car l'accès à l'eau potable devrait être un droit universel et non une marchandise soumise à des logiques commerciales. La privatisation de l'eau pose des questions éthiques et environnementales, notamment en termes d'inégalités d'accès et de pollution plastique. Cela reflète effectivement une dérive de notre société vers la marchandisation des biens essentiels.","**Tout à fait d'accord**  

Je partage ce constat car l'accès à l'eau potable devrait être un droit universel et non une marchandise soumise aux logiques commerciales. La privatisation de l'eau pose des problèmes éthiques et environnementaux, notamment en excluant les populations les plus vulnérables. Cela illustre effectivement une dérive de notre société vers la monétisation des ressources essentielles."
"**Tout à fait d'accord**  

Je pense que la terre est une ressource fondamentale qui ne devrait pas être traitée comme une simple marchandise, car cela peut conduire à des inégalités et à une spéculation néfaste. Elle devrait plutôt être gérée de manière collective ou régulée pour garantir un accès équitable à tous.","**Plutôt d'accord**  

Je pense que la terre devrait être davantage considérée comme un bien commun plutôt que comme une simple marchandise, car sa commercialisation excessive peut conduire à des inégalités d'accès et à une spéculation néfaste. Cependant, une certaine régulation du marché pourrait permettre de concilier propriété privée et intérêt général.","**Plutôt d'accord**  

Je pense que la terre est une ressource fondamentale qui ne devrait pas être traitée comme une simple marchandise, car cela peut conduire à des inégalités et à une spéculation néfaste. Cependant, une régulation équilibrée pourrait permettre de concilier propriété privée et intérêt collectif."
"**Plutôt d'accord**  

Je pense que certaines fortunes sont effectivement bâties sur des activités spéculatives ou financières qui ne créent pas de valeur tangible pour la société. Cependant, il faut nuancer car d'autres fortunes résultent d'innovations ou d'entreprises utiles. L'équilibre entre profit et contribution sociale est un enjeu important.","**Plutôt d'accord**  

Je pense que certaines fortunes sont effectivement bâties sur des activités spéculatives ou financières qui ne créent pas de valeur tangible pour la société. Cependant, il existe aussi des entrepreneurs et investisseurs dont les actions stimulent l'innovation et l'emploi, ce qui nuance mon accord.","**Plutôt d'accord**  
Je pense que certaines fortunes sont effectivement bâties sur des activités spéculatives ou peu productives, ce qui peut nuire à l'équité sociale. Cependant, il faut aussi reconnaître que d'autres enrichissements sont légitimes et liés à des innovations utiles. La nuance est donc nécessaire dans ce débat."
"**Plutôt d'accord**  

Le protectionnisme peut être nécessaire pour protéger les industries naissantes ou stratégiques d'un pays, surtout face à des pratiques commerciales déloyales. Cependant, une application excessive peut aussi entraver la croissance économique et les échanges internationaux. Il s'agit donc de trouver un équilibre pour en tirer les bénéfices sans tomber dans l'isolationnisme.","**Plutôt d'accord**  

Le protectionnisme peut être nécessaire pour protéger les industries naissantes ou stratégiques d'un pays, surtout face à une concurrence internationale déloyale. Cependant, une application excessive peut aussi entraver la croissance économique et les échanges bénéfiques. Il s'agit donc de trouver un équilibre pour préserver les intérêts nationaux sans isoler l'économie.","**Plutôt d'accord**  
Le protectionnisme peut être justifié pour protéger les industries naissantes ou stratégiques, ainsi que pour préserver l'emploi local dans certains contextes économiques fragiles. Cependant, une application excessive peut aussi nuire à la compétitivité et aux relations commerciales internationales."
"**Pas du tout d'accord**  
Les entreprises ont des responsabilités sociales plus larges que la simple distribution de profits, comme le respect de l'environnement, le bien-être des employés et l'impact sur la communauté. Une vision purement axée sur les actionnaires ignore ces dimensions essentielles pour un développement durable et équitable.","**Plutôt pas d'accord**  
Je pense que les entreprises ont également une responsabilité envers leurs employés, leurs clients et la société en général, au-delà de la simple maximisation des profits pour les actionnaires. Une approche équilibrée favorise une durabilité à long terme et renforce la réputation de l'entreprise.","**Pas du tout d'accord**  
Les entreprises ont des responsabilités sociales plus larges que la simple distribution de profits, comme le respect de l'environnement, le bien-être des employés et la contribution à la société. Une vision aussi restrictive ignore l'impact positif qu'elles peuvent avoir sur leur écosystème et les attentes croissantes des parties prenantes. La recherche d'un équilibre entre performance économique et responsabilité sociale est essentielle pour une durabilité à long terme."
"**Plutôt pas d'accord**  

Je pense que les riches bénéficient souvent de mécanismes fiscaux avantageux (niches fiscales, optimisation, etc.), ce qui peut réduire leur contribution effective. Cependant, cela dépend des pays et des systèmes fiscaux en place, où certains pourraient effectivement être imposés de manière plus élevée.","**Plutôt pas d'accord**  
Je pense que les riches bénéficient souvent d'avantages fiscaux et que la progressivité de l'impôt est nécessaire pour réduire les inégalités. Cependant, il est important de trouver un équilibre pour ne pas décourager l'investissement et la création d'emplois.","**Plutôt pas d'accord**  

Je pense que les riches bénéficient souvent de mécanismes fiscaux avantageux (niches fiscales, optimisation) qui peuvent réduire leur contribution effective. Cependant, cela dépend des pays et des systèmes fiscaux en place, où certains pourraient effectivement payer proportionnellement plus."
"**Plutôt pas d'accord**  

Je pense que l'accès aux services médicaux devrait être basé sur les besoins plutôt que sur les moyens financiers, pour garantir une équité dans les soins de santé. Cependant, je reconnais que des systèmes parallèles existent dans certains pays, ce qui peut expliquer pourquoi certains pourraient être d'accord avec cette affirmation.","**Plutôt pas d'accord**  

Je pense que l'accès aux services médicaux devrait être basé sur les besoins plutôt que sur les moyens financiers, pour garantir une équité dans les soins de santé. Cependant, je reconnais que des systèmes parallèles existent dans certains pays, ce qui peut expliquer pourquoi certains pourraient être d'accord avec cette affirmation.","**Plutôt pas d'accord**  

Je pense que l'accès aux services médicaux devrait être basé sur les besoins de santé plutôt que sur les moyens financiers. Une société plus équitable garantit des soins de qualité pour tous, indépendamment de la richesse. Cependant, je reconnais que des systèmes parallèles existent, mais ils ne devraient pas compromettre l'accès universel aux soins essentiels."
"**Tout à fait d'accord**  

Les entreprises ont une responsabilité éthique de fournir des informations transparentes et exactes au public. Les pénaliser en cas de tromperie protège les consommateurs et renforce la confiance dans le marché. Cela encourage également des pratiques commerciales plus équitables et durables.","**Tout à fait d'accord**  
Les entreprises qui induisent le public en erreur nuisent à la confiance des consommateurs et faussent la concurrence. Des sanctions appropriées dissuadent ces pratiques et protègent l'intérêt général. Cela renforce également la transparence et l'éthique dans le monde des affaires.","**Tout à fait d'accord**  

Les entreprises qui induisent le public en erreur nuisent à la confiance des consommateurs et faussent la concurrence. Des sanctions appropriées dissuadent ces pratiques et protègent l'intérêt général. Cela renforce également la transparence et l'éthique dans le monde économique."
"**Tout à fait d'accord**  
Un véritable Libre Marché repose sur une concurrence saine et équitable, ce qui implique de limiter le pouvoir des multinationales prédatrices pour éviter les monopoles qui étouffent l'innovation et exploitent les consommateurs. Sans ces restrictions, le marché devient déséquilibré et perd son essence libérale. La régulation est donc nécessaire pour préserver la dynamique concurrentielle.","**Tout à fait d'accord**  
Un véritable Libre Marché repose sur une concurrence saine et équitable, ce qui implique de limiter les pratiques monopolistiques des multinationales prédatrices. Sans ces restrictions, les monopoles peuvent étouffer l'innovation et exploiter les consommateurs, ce qui va à l'encontre des principes du libre-échange. La régulation est donc nécessaire pour préserver l'esprit du marché libre.","**Tout à fait d'accord**  
Un véritable Libre Marché repose sur la concurrence équitable, et les monopoles faussent cette dynamique en éliminant la diversité et l'innovation. Les multinationales prédatrices exploitent leur pouvoir pour étouffer les petits acteurs, ce qui nécessite des garde-fous pour préserver l'équilibre économique. Sans restrictions, le Libre Marché se transforme en un système dominé par quelques acteurs, ce qui va à l'encontre de ses principes fondateurs."
"**Plutôt d'accord**  

Un marché économique libre permet aux individus de faire des choix économiques sans contraintes excessives, ce qui peut renforcer leur autonomie et leur capacité à agir selon leurs préférences. Cependant, cette liberté peut être limitée par des inégalités ou des barrières structurelles, d'où une adhésion nuancée plutôt qu'un accord total.","**Plutôt d'accord**  

Un marché économique libre permet aux individus de faire des choix autonomes en matière de consommation, d'emploi et d'innovation, ce qui renforce leur liberté individuelle. Cependant, cette liberté peut être limitée par des inégalités ou des externalités négatives, d'où un accord modéré plutôt que total. L'équilibre entre liberté économique et régulations nécessaires reste un enjeu complexe.","**Plutôt d'accord**  

Un marché économique libre permet aux individus de faire des choix économiques selon leurs préférences, ce qui peut renforcer leur autonomie. Cependant, cette liberté peut être limitée par des inégalités ou des barrières structurelles, ce qui nuance l'idée d'une liberté absolue. Ainsi, bien qu'il y ait un lien entre liberté économique et liberté individuelle, celui-ci n'est pas toujours direct ou universel."
"**Pas du tout d'accord**  
Je pense que l'avortement devrait rester un choix personnel, car chaque situation est unique et les femmes devraient avoir le droit de décider de leur propre corps. De plus, interdire l'avortement dans tous les cas, sauf lorsque la vie de la mère est en danger, ignore des circonstances complexes comme les risques pour la santé mentale ou les grossesses non désirées.","**Pas du tout d'accord**  
Je pense que l'avortement est un droit fondamental qui devrait être accessible à toutes les femmes, indépendamment des circonstances. Restreindre ce droit uniquement aux cas où la vie de la mère est en danger ignore les complexités des situations personnelles, sociales ou économiques. Chaque femme devrait avoir le choix de décider ce qui est le mieux pour elle-même et son avenir.","**Pas du tout d'accord**  
Je pense que l'avortement est un droit fondamental qui devrait être accessible à toutes les femmes, quelle que soit leur situation. La décision de poursuivre ou non une grossesse relève de l'autonomie corporelle et ne devrait pas être imposée par des lois restrictives."
"**Tout à fait d'accord**  
Je pense que remettre en question l'autorité est essentiel pour éviter les abus de pouvoir et favoriser le progrès. Une société saine repose sur un équilibre entre respect des institutions et capacité à les critiquer pour les améliorer. Cela encourage la transparence et la responsabilité des dirigeants.","**Plutôt d'accord**  

Je pense qu'il est important de remettre en question les autorités pour éviter les abus de pouvoir et favoriser la transparence. Cependant, cela doit se faire de manière constructive et respectueuse, sans compromettre la stabilité sociale.","**Tout à fait d'accord**  

Je pense que remettre en question l'autorité est essentiel pour éviter les abus de pouvoir et favoriser le progrès social. Une autorité non contestée peut conduire à des décisions arbitraires ou injustes, tandis que le questionnement critique encourage la transparence et la responsabilité. Cela permet aussi d'adapter les structures de pouvoir aux besoins changeants de la société."
"**Plutôt pas d'accord**  

Cette expression reflète une logique de vengeance qui peut perpétuer un cycle de violence. Bien que l'idée de justice immédiate puisse sembler équitable, elle ne favorise pas toujours la résolution pacifique des conflits. Je privilégie des approches plus constructives, comme le dialogue ou la réparation, pour rétablir l'harmonie.","**Tout à fait d'accord**  
Cette expression reflète un principe de justice réciproque qui peut être nécessaire pour maintenir l'ordre et la responsabilité dans certaines sociétés. Bien que cela puisse paraître sévère, cela garantit une équité en exigeant une réparation proportionnelle au tort subi. Cela dissuade aussi les comportements nuisibles en établissant des conséquences claires.","**Plutôt pas d'accord**  

Je pense que cette approche de vengeance peut perpétuer un cycle de violence et ne favorise pas la résolution pacifique des conflits. Il est souvent plus constructif de chercher des solutions qui restaurent l'harmonie plutôt que de répondre par une réaction équivalente."
"**Plutôt pas d'accord**  
Les théâtres et les musées jouent un rôle culturel et éducatif essentiel, même s'ils ne sont pas toujours rentables. Leur financement public permet de garantir l'accès à la culture pour tous, indépendamment des contraintes économiques. Une société qui néglige ces institutions risque de perdre une partie de son patrimoine et de sa diversité créative.","**Plutôt pas d'accord**  

Les théâtres et les musées jouent un rôle culturel et éducatif essentiel, même s'ils ne sont pas toujours rentables. Leur financement public permet de préserver un patrimoine commun et de rendre la culture accessible à tous. La viabilité économique ne devrait pas être le seul critère pour juger de leur utilité sociale.","**Plutôt pas d'accord**  

Les théâtres et les musées jouent un rôle culturel et éducatif essentiel, même s'ils ne sont pas toujours rentables. Leur financement public permet de préserver un patrimoine commun et de rendre la culture accessible à tous. Une société ne peut pas se résumer à une logique purement économique."
"**Plutôt d'accord**  
Je pense que la présence obligatoire peut parfois limiter la flexibilité nécessaire pour certains étudiants, notamment ceux qui apprennent mieux à distance ou qui ont des contraintes personnelles. Cependant, un cadre minimal reste important pour assurer un suivi et une cohésion dans l'apprentissage.","**Plutôt d'accord**  
Je pense que la présence obligatoire en classe peut ne pas convenir à tous les élèves, notamment ceux qui apprennent mieux de manière autonome ou à distance. Cependant, une certaine structure reste importante pour garantir un cadre d'apprentissage équitable et stimulant. Une approche flexible pourrait mieux répondre aux besoins divers des étudiants tout en maintenant des standards éducatifs.","**Plutôt d'accord**  
Je pense que la présence en classe ne devrait pas être strictement obligatoire, car certains élèves apprennent mieux de manière autonome ou à distance. Cependant, un cadre minimal reste nécessaire pour assurer un suivi et une socialisation essentielle à leur développement."
"**Pas du tout d'accord**  
Cette affirmation renforce les divisions sociales et va à l'encontre des valeurs d'inclusion et de diversité. La richesse des sociétés vient justement des échanges et des interactions entre des personnes différentes. Encourag","**Pas du tout d'accord**  
Cette affirmation renforce les divisions sociales et va à l'encontre des valeurs d'inclusion et de diversité. La richesse d'une société réside justement dans les échanges et les interactions entre des personnes différentes, qui favorisent l'empathie et l'innovation. Encouragé·e·s à vivre ensemble, nous pouvons construire un monde plus juste et solidaire.","**Pas du tout d'accord**  

Cette affirmation favorise la division et l'exclusion, ce qui va à l'encontre des valeurs d'égalité et de diversité. Les sociétés progressent grâce aux échanges et à la collaboration entre personnes différentes. Il est essentiel de promouvoir l'inclusion plutôt que la ségrégation."
"**Pas du tout d'accord**  
Les études montrent que la fessée peut avoir des effets négatifs sur le développement émotionnel et comportemental des enfants. Il existe des méthodes éducatives plus efficaces et respectueuses, comme la communication bienveillante et la mise en place de limites claires. La violence, même légère, n'est pas une solution appropriée pour éduquer un enfant.","**Pas du tout d'accord**  
La fessée est une méthode punitive qui peut causer des effets négatifs sur le développement émotionnel et psychologique de l'enfant. Des alternatives éducatives, comme le dialogue ou la mise en place de conséquences logiques, sont plus efficaces et respectueuses. Les études montrent que les châtiments corporels peuvent engendrer des problèmes de comportement à long terme.","**Pas du tout d'accord**  
Les études montrent que la fessée peut avoir des effets négatifs sur le développement émotionnel et comportemental des enfants. Des méthodes éducatives alternatives, comme le dialogue et la bienveillance, sont plus efficaces pour favoriser leur épanouissement. La violence, même légère, n'est pas une solution appropriée pour éduquer un enfant."
"**Plutôt d'accord**  

Il est courant que les enfants, en grandissant, cherchent à préserver une certaine intimité ou à éviter des conflits, ce qui peut les amener à cacher certaines choses à leurs parents. Cela fait partie de leur développement et de leur recherche d'autonomie, même si cela dépend aussi de la relation familiale et du contexte.","**Plutôt d'accord**  

Il est courant que les enfants, en grandissant, cherchent à préserver une certaine intimité ou à éviter des conflits, ce qui peut les amener à cacher certaines choses à leurs parents. Cela fait partie de leur développement et de leur quête d'autonomie, même si une communication ouverte reste idéale.","**Plutôt d'accord**  

Il est courant que les enfants cachent certaines choses à leurs parents, que ce soit par peur de réprimandes, par désir d'autonomie ou simplement parce qu'ils testent les limites. Cela fait partie de leur développement et de leur apprentissage de l'indépendance. Cependant, cela dépend aussi du contexte familial et de la relation de confiance entre parents et enfants."
"**Tout à fait d'accord**  

Je pense que la possession de cannabis pour usage personnel ne devrait pas être criminalisée, car cela permettrait de réduire la pression sur le système judiciaire et de mieux encadrer la consommation. De plus, une approche axée sur la santé publique plutôt que sur la répression serait plus efficace pour aider les usagers. Enfin, cela s'inscrirait dans une logique de réduction des risques et de respect des libertés individuelles.","**Plutôt d'accord**  
Je pense que la possession de cannabis pour usage personnel ne devrait pas être criminalisée, car cela pourrait réduire la pression sur le système judiciaire et favoriser une approche plus axée sur la santé publique. Cependant, une régulation stricte reste nécessaire pour encadrer sa consommation et éviter les abus.","**Plutôt d'accord**  
Je pense que la détention de cannabis pour usage personnel ne devrait pas être criminalisée, car cela pourrait réduire les problèmes liés à la surpopulation carcérale et permettre une meilleure approche de santé publique. Cependant, une régulation stricte reste nécessaire pour éviter les abus et protéger les publics vulnérables."
"**Plutôt d'accord**  

L'école joue un rôle crucial dans la préparation des élèves au monde professionnel en leur transmettant des compétences techniques et sociales essentielles. Cependant, sa mission ne se limite pas à l'emploi : elle doit aussi favoriser l'épanouissement personnel et la citoyenneté. Un équilibre entre ces objectifs est nécessaire pour former des individus complets.","**Plutôt d'accord**  
L'école joue un rôle clé dans la préparation des élèves au monde professionnel en leur transmettant des compétences techniques et sociales essentielles. Cependant, sa mission ne se limite pas à l'emploi : elle doit aussi favoriser l'épanouissement personnel et la citoyenneté. Un équilibre entre ces objectifs est nécessaire pour former des individus complets.","**Plutôt d'accord**  
L'école a certes un rôle crucial dans la préparation professionnelle des élèves, mais elle ne doit pas se limiter à cette dimension. Elle doit aussi favoriser le développement personnel, la citoyenneté et la pensée critique, qui sont essentiels pour une société équilibrée. Cependant, l'insertion professionnelle reste un objectif important pour répondre aux besoins économiques et sociaux."
"**Pas du tout d'accord**  
Cette proposition remet en question des droits fondamentaux et l'autonomie des individus, quelles que soient leurs particularités. Chaque personne, y compris celles en situation de handicap, a le droit de faire ses propres choix reproductifs, dans le respect de l'éthique et de la dignité humaine. De plus, une telle mesure pourrait ouvrir la voie à des dérives eugénistes et discriminatoires.","**Pas du tout d'accord**  
Cette position reviendrait à nier le droit fondamental à la parentalité et à discriminer des personnes en raison de leur handicap. De plus, les avancées médicales et sociales permettent souvent de soutenir les familles concernées, rendant cette interdiction inutile et injuste. Chaque individu mérite le respect de ses choix de vie, indépendamment de sa condition génétique.","**Pas du tout d'accord**  
Cette proposition pose des problèmes éthiques majeurs en niant les droits fondamentaux à la reproduction et à l'autonomie corporelle. De plus, elle repose sur une vision discriminatoire et eugéniste, qui ne tient pas compte de la diversité humaine et des avancées possibles en matière de soutien aux personnes handicapées."
"**Plutôt d'accord**  
L'accepter la discipline aide un enfant à développer des compétences essentielles comme le respect des règles et la gestion des frustrations. Cependant, d'autres valeurs comme l'empathie ou la curiosité sont également cruciales pour son épanouissement.","**Plutôt d'accord**  
Accepter la discipline aide un enfant à comprendre les limites et à développer des compétences sociales essentielles, comme le respect des règles et la gestion des frustrations. Cependant, d'autres valeurs comme l'empathie ou la curiosité sont également cruciales pour son épanouissement global.","**Plutôt d'accord**  
Je pense que la discipline est importante pour aider un enfant à développer des compétences comme la patience, le respect et la responsabilité. Cependant, d'autres valeurs comme l'empathie et la créativité sont également essentielles pour son épanouissement global. La discipline ne doit donc pas être la seule priorité, mais elle reste un fondement utile."
